open,high,low,close,volume,time,oi,time_str
165.0,165.0,156.0,156.0,55950,2024-09-02 09:15:00,1518675,2024-09-02T09:15:00+05:30
161.45,161.45,151.75,151.75,88150,2024-09-02 09:15:05,1518675,2024-09-02T09:15:05+05:30
152.05,152.65,150.25,151.55,46825,2024-09-02 09:15:10,1518675,2024-09-02T09:15:10+05:30
154.25,154.25,150.25,150.25,30275,2024-09-02 09:15:15,1518675,2024-09-02T09:15:15+05:30
150.3,154.35,150.3,154.35,33550,2024-09-02 09:15:20,1518675,2024-09-02T09:15:20+05:30
155.15,155.15,152.5,152.5,22000,2024-09-02 09:15:25,1550925,2024-09-02T09:15:25+05:30
153.5,153.5,151.3,151.65,17125,2024-09-02 09:15:30,1550925,2024-09-02T09:15:30+05:30
150.0,151.3,149.7,151.3,24475,2024-09-02 09:15:35,1550925,2024-09-02T09:15:35+05:30
151.2,155.9,151.2,155.9,36450,2024-09-02 09:15:40,1550925,2024-09-02T09:15:40+05:30
156.4,157.35,156.4,157.35,20775,2024-09-02 09:15:45,1550925,2024-09-02T09:15:45+05:30
157.0,157.0,154.7,154.7,25450,2024-09-02 09:15:50,1550925,2024-09-02T09:15:50+05:30
155.05,155.05,153.25,153.25,16425,2024-09-02 09:15:55,1550925,2024-09-02T09:15:55+05:30
154.7,158.25,154.7,157.8,31550,2024-09-02 09:16:00,1550925,2024-09-02T09:16:00+05:30
157.0,157.0,155.85,156.45,25850,2024-09-02 09:16:05,1550925,2024-09-02T09:16:05+05:30
155.8,157.45,155.0,155.7,25675,2024-09-02 09:16:10,1550925,2024-09-02T09:16:10+05:30
156.4,156.4,155.35,155.35,11250,2024-09-02 09:16:15,1550925,2024-09-02T09:16:15+05:30
153.5,154.65,153.5,154.65,15075,2024-09-02 09:16:20,1550925,2024-09-02T09:16:20+05:30
154.2,154.2,153.35,153.35,15775,2024-09-02 09:16:25,1550925,2024-09-02T09:16:25+05:30
153.3,153.8,151.3,151.3,26450,2024-09-02 09:16:30,1550925,2024-09-02T09:16:30+05:30
151.5,153.95,151.5,153.95,11950,2024-09-02 09:16:35,1550925,2024-09-02T09:16:35+05:30
154.4,155.35,154.4,155.35,12500,2024-09-02 09:16:40,1550925,2024-09-02T09:16:40+05:30
154.3,155.3,153.55,155.3,13350,2024-09-02 09:16:45,1550925,2024-09-02T09:16:45+05:30
155.25,155.3,154.4,154.4,12725,2024-09-02 09:16:50,1550925,2024-09-02T09:16:50+05:30
154.15,154.6,154.15,154.6,9925,2024-09-02 09:16:55,1550925,2024-09-02T09:16:55+05:30
155.8,157.0,154.9,156.75,16300,2024-09-02 09:17:00,1550925,2024-09-02T09:17:00+05:30
155.95,156.6,155.4,156.6,19775,2024-09-02 09:17:05,1550925,2024-09-02T09:17:05+05:30
156.05,156.4,156.05,156.4,6350,2024-09-02 09:17:10,1550925,2024-09-02T09:17:10+05:30
