open,high,low,close,volume,time,oi,time_str
159.8,173.35,159.8,161.85,39025,2024-08-30 09:15:00,399075,2024-08-30T09:15:00+05:30
159.45,164.5,159.45,163.4,47050,2024-08-30 09:15:05,399075,2024-08-30T09:15:05+05:30
161.85,164.1,161.85,162.5,35825,2024-08-30 09:15:10,399075,2024-08-30T09:15:10+05:30
165.65,166.85,164.9,166.0,40850,2024-08-30 09:15:15,399075,2024-08-30T09:15:15+05:30
165.85,165.85,164.35,164.9,26125,2024-08-30 09:15:20,463350,2024-08-30T09:15:20+05:30
163.8,164.0,163.7,163.8,22050,2024-08-30 09:15:25,463350,2024-08-30T09:15:25+05:30
166.65,166.65,164.3,164.3,25975,2024-08-30 09:15:30,463350,2024-08-30T09:15:30+05:30
164.1,164.1,163.1,163.5,18650,2024-08-30 09:15:35,463350,2024-08-30T09:15:35+05:30
161.7,162.15,161.45,161.45,23825,2024-08-30 09:15:40,463350,2024-08-30T09:15:40+05:30
161.55,162.8,161.45,162.8,20075,2024-08-30 09:15:45,463350,2024-08-30T09:15:45+05:30
162.8,165.8,162.8,164.85,15700,2024-08-30 09:15:50,463350,2024-08-30T09:15:50+05:30
164.0,164.0,162.9,162.9,19950,2024-08-30 09:15:55,463350,2024-08-30T09:15:55+05:30
161.55,161.55,158.2,159.2,53375,2024-08-30 09:16:00,463350,2024-08-30T09:16:00+05:30
158.65,158.85,157.7,158.7,22450,2024-08-30 09:16:05,463350,2024-08-30T09:16:05+05:30
158.35,160.05,158.35,159.95,23900,2024-08-30 09:16:10,463350,2024-08-30T09:16:10+05:30
161.1,161.2,160.0,160.55,14350,2024-08-30 09:16:15,463350,2024-08-30T09:16:15+05:30
160.35,160.35,159.35,159.55,22050,2024-08-30 09:16:20,463350,2024-08-30T09:16:20+05:30
158.7,159.1,158.7,158.8,19300,2024-08-30 09:16:25,463350,2024-08-30T09:16:25+05:30
158.8,158.8,158.1,158.1,25800,2024-08-30 09:16:30,463350,2024-08-30T09:16:30+05:30
157.5,158.15,157.25,157.35,23900,2024-08-30 09:16:35,463350,2024-08-30T09:16:35+05:30
157.05,157.6,156.65,156.65,12250,2024-08-30 09:16:40,463350,2024-08-30T09:16:40+05:30
157.0,157.7,156.75,157.7,12750,2024-08-30 09:16:45,463350,2024-08-30T09:16:45+05:30
157.75,157.75,156.85,156.95,11600,2024-08-30 09:16:50,463350,2024-08-30T09:16:50+05:30
156.5,157.75,156.5,157.75,22325,2024-08-30 09:16:55,463350,2024-08-30T09:16:55+05:30
156.7,156.7,154.95,154.95,24800,2024-08-30 09:17:00,463350,2024-08-30T09:17:00+05:30
154.35,154.35,153.4,154.35,18950,2024-08-30 09:17:05,463350,2024-08-30T09:17:05+05:30
154.3,154.3,152.7,153.6,11925,2024-08-30 09:17:10,463350,2024-08-30T09:17:10+05:30
153.55,153.55,152.65,152.65,18025,2024-08-30 09:17:15,463350,2024-08-30T09:17:15+05:30
152.35,153.45,152.35,153.45,22425,2024-08-30 09:17:20,463350,2024-08-30T09:17:20+05:30
153.25,154.65,153.25,154.05,21675,2024-08-30 09:17:25,463350,2024-08-30T09:17:25+05:30
154.2,156.05,154.2,156.05,30375,2024-08-30 09:17:30,463350,2024-08-30T09:17:30+05:30
156.1,156.65,156.1,156.65,16325,2024-08-30 09:17:35,463350,2024-08-30T09:17:35+05:30
156.75,156.9,156.6,156.9,26600,2024-08-30 09:17:40,463350,2024-08-30T09:17:40+05:30
157.0,158.4,157.0,158.4,18725,2024-08-30 09:17:45,463350,2024-08-30T09:17:45+05:30
158.4,159.35,158.35,159.0,16250,2024-08-30 09:17:50,463350,2024-08-30T09:17:50+05:30
159.65,159.75,157.5,157.5,32000,2024-08-30 09:17:55,463350,2024-08-30T09:17:55+05:30
157.05,157.05,156.1,156.1,16925,2024-08-30 09:18:00,463350,2024-08-30T09:18:00+05:30
156.4,157.8,156.4,157.2,13950,2024-08-30 09:18:05,463350,2024-08-30T09:18:05+05:30
156.85,156.9,156.1,156.6,32625,2024-08-30 09:18:10,463350,2024-08-30T09:18:10+05:30
156.6,156.85,156.55,156.85,6825,2024-08-30 09:18:15,463350,2024-08-30T09:18:15+05:30
156.75,156.75,156.4,156.65,7650,2024-08-30 09:18:20,854850,2024-08-30T09:18:20+05:30
156.45,156.45,155.8,156.0,12750,2024-08-30 09:18:25,854850,2024-08-30T09:18:25+05:30
155.8,156.0,155.25,156.0,22025,2024-08-30 09:18:30,854850,2024-08-30T09:18:30+05:30
155.45,155.45,155.0,155.0,10425,2024-08-30 09:18:35,854850,2024-08-30T09:18:35+05:30
155.35,155.35,154.4,154.85,22475,2024-08-30 09:18:40,854850,2024-08-30T09:18:40+05:30
154.55,155.8,154.55,155.7,28025,2024-08-30 09:18:45,854850,2024-08-30T09:18:45+05:30
155.7,155.9,155.05,155.05,13925,2024-08-30 09:18:50,854850,2024-08-30T09:18:50+05:30
154.8,155.8,154.7,155.6,22475,2024-08-30 09:18:55,854850,2024-08-30T09:18:55+05:30
155.0,155.15,154.65,155.15,18200,2024-08-30 09:19:00,854850,2024-08-30T09:19:00+05:30
154.7,154.7,154.1,154.25,24050,2024-08-30 09:19:05,854850,2024-08-30T09:19:05+05:30
154.1,154.7,154.1,154.7,30925,2024-08-30 09:19:10,854850,2024-08-30T09:19:10+05:30
155.55,156.95,155.2,156.95,22825,2024-08-30 09:19:15,854850,2024-08-30T09:19:15+05:30
156.35,156.9,156.25,156.4,16750,2024-08-30 09:19:20,854850,2024-08-30T09:19:20+05:30
156.85,156.85,156.5,156.8,19900,2024-08-30 09:19:25,854850,2024-08-30T09:19:25+05:30
157.75,157.75,156.7,156.7,27025,2024-08-30 09:19:30,854850,2024-08-30T09:19:30+05:30
157.2,157.2,156.3,156.3,27650,2024-08-30 09:19:35,854850,2024-08-30T09:19:35+05:30
156.2,157.25,156.2,156.9,17725,2024-08-30 09:19:40,854850,2024-08-30T09:19:40+05:30
157.05,157.05,155.45,155.5,18400,2024-08-30 09:19:45,854850,2024-08-30T09:19:45+05:30
155.75,155.9,155.4,155.9,22900,2024-08-30 09:19:50,854850,2024-08-30T09:19:50+05:30
155.5,156.1,155.45,155.65,23125,2024-08-30 09:19:55,854850,2024-08-30T09:19:55+05:30
155.1,156.55,155.0,155.2,30825,2024-08-30 09:20:00,854850,2024-08-30T09:20:00+05:30
155.45,155.95,155.0,155.95,16025,2024-08-30 09:20:05,854850,2024-08-30T09:20:05+05:30
155.8,156.45,155.75,155.75,11200,2024-08-30 09:20:10,854850,2024-08-30T09:20:10+05:30
155.5,155.5,155.35,155.35,6125,2024-08-30 09:20:15,854850,2024-08-30T09:20:15+05:30
156.6,157.4,156.45,156.45,17850,2024-08-30 09:20:20,854850,2024-08-30T09:20:20+05:30
157.25,157.25,156.8,157.25,10875,2024-08-30 09:20:25,854850,2024-08-30T09:20:25+05:30
157.8,159.4,157.8,159.4,14400,2024-08-30 09:20:30,854850,2024-08-30T09:20:30+05:30
159.5,160.2,159.5,160.0,29675,2024-08-30 09:20:35,854850,2024-08-30T09:20:35+05:30
160.05,160.75,160.05,160.75,19675,2024-08-30 09:20:40,854850,2024-08-30T09:20:40+05:30
161.45,162.6,161.45,162.05,45175,2024-08-30 09:20:45,854850,2024-08-30T09:20:45+05:30
160.7,161.4,160.65,161.4,22250,2024-08-30 09:20:50,854850,2024-08-30T09:20:50+05:30
160.85,160.85,159.7,159.7,19900,2024-08-30 09:20:55,854850,2024-08-30T09:20:55+05:30
159.7,159.7,157.9,157.9,27425,2024-08-30 09:21:00,854850,2024-08-30T09:21:00+05:30
157.0,157.75,156.55,156.55,24650,2024-08-30 09:21:05,854850,2024-08-30T09:21:05+05:30
156.35,156.65,156.0,156.0,13025,2024-08-30 09:21:10,854850,2024-08-30T09:21:10+05:30
156.5,156.5,155.2,155.2,14075,2024-08-30 09:21:15,854850,2024-08-30T09:21:15+05:30
155.0,156.4,155.0,156.4,19800,2024-08-30 09:21:20,1170275,2024-08-30T09:21:20+05:30
156.95,156.95,154.75,154.75,16225,2024-08-30 09:21:25,1170275,2024-08-30T09:21:25+05:30
155.6,155.6,154.8,154.8,11525,2024-08-30 09:21:30,1170275,2024-08-30T09:21:30+05:30
153.5,153.5,151.8,151.8,57850,2024-08-30 09:21:35,1170275,2024-08-30T09:21:35+05:30
152.45,152.7,151.8,152.5,21450,2024-08-30 09:21:40,1170275,2024-08-30T09:21:40+05:30
152.4,153.6,152.4,153.55,14000,2024-08-30 09:21:45,1170275,2024-08-30T09:21:45+05:30
153.3,153.5,152.0,152.85,12250,2024-08-30 09:21:50,1170275,2024-08-30T09:21:50+05:30
